id,word,category,level,part_of_speech,chinese_meaning,simple_definition,detailed_definition,example_sentence,creative_writing_example,synonyms,antonyms,common_collocations,word_family,difficulty_score,review_schedule
VAC0068,proportion,Academic Core Vocabulary,2,noun,比例；部分,The size of one part compared with the whole or with another part.,"A comparative relationship between quantities, or a share of a total expressed relatively.",A large proportion of the class preferred the non-fiction text.,Basic: A big part of… / Improved: A significant proportion of plastic waste enters waterways each year.,share|ratio|percentage,,in proportion|large proportion|proportion of,proportion|proportions|proportional|proportionally,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0069,synthesise,Academic Core Vocabulary,2,verb,综合；合成,"To combine information from different sources into a new, clear whole.","To integrate ideas or data from multiple places to create an original summary, argument, or product.",Synthesise notes from three articles before you write your report.,Basic: Mix the ideas together. / Improved: Synthesise the evidence to form one coherent argument.,combine|integrate|fuse,,synthesise information|synthesise findings|synthesise sources,synthesise|synthesis|synthetic|synthesiser,6,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0070,valid,Academic Core Vocabulary,2,adjective,有效的；合理的,"Fair, reasonable, and based on good reasons or evidence.","Well-founded and logically sound; acceptable according to rules, evidence, or reasoning.",A valid argument uses evidence that actually supports the claim.,Basic: That reason is okay. / Improved: Only valid measurements should be included in the final average.,sound|legitimate|reasonable,invalid|flawed,valid reason|valid argument|remain valid,valid|validity|validate|validation|invalid,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0071,variable,Academic Core Vocabulary,2,noun,变量,Something in an experiment that can change or be changed.,"A factor that can take different values; in fair tests, scientists control some variables and change one deliberately.",Temperature was the independent variable we changed in each trial.,Basic: The thing we change. / Improved: Identify every variable that could affect the results.,factor|element,,independent variable|dependent variable|control variables,variable|variables|vary|variation,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0072,coherent,Academic Core Vocabulary,2,adjective,连贯的；清晰有条理的,"Clear, logical, and easy to follow because the parts connect well.",Organised so that ideas fit together consistently and the whole makes sense to the reader or listener.,A coherent paragraph sticks to one main idea and uses linking words.,Basic: It makes sense. / Improved: Revise until your argument is coherent from start to finish.,logical|clear|consistent,confused|disjointed,coherent argument|coherent structure|remain coherent,coherent|coherence|coherently|incoherent,6,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0073,comprehensive,Academic Core Vocabulary,2,adjective,全面的；详尽的,Including nearly everything that is needed; very complete.,"Broad and thorough in coverage, addressing all major parts of a topic or task.",The library guide offers a comprehensive overview of research skills.,Basic: It covers a lot. / Improved: Write a comprehensive report that addresses every success criterion.,thorough|complete|wide-ranging,partial|narrow,comprehensive study|comprehensive list|comprehensive review,comprehensive|comprehensively|comprehensiveness,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0074,distinguish,Academic Core Vocabulary,2,verb,区分；辨别,To notice or explain the difference between two or more things.,"To recognise or mark how items, ideas, or qualities differ so they can be treated separately.",Distinguish between fact and opinion when you read the news article.,Basic: Tell them apart. / Improved: Distinguish reliable sources from biased ones.,differentiate|tell apart|separate,confuse,distinguish between|distinguish from|clearly distinguish,distinguish|distinction|distinct|distinctive,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0075,elaborate,Academic Core Vocabulary,2,verb,详述；详细说明,To add more detail to an idea so it becomes clearer and richer.,"To develop a point more fully with explanations, examples, or precise language.",Please elaborate on your answer by adding a second reason.,Basic: Say more. / Improved: Elaborate your claim with a concrete example from the text.,expand|develop|detail,simplify|condense,elaborate on|elaborate further|elaborate explanation,elaborate|elaboration|elaborated|elaborately,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0076,formulate,Academic Core Vocabulary,2,verb,制定；确切表达,"To create or express an idea, plan, or question carefully.","To develop something systematically—such as a hypothesis, policy, or sentence—using precise thought and language.",Formulate a research question that can be investigated in two weeks.,Basic: Make a plan. / Improved: Formulate a hypothesis that is clear and testable.,develop|create|craft,,formulate a plan|formulate a question|carefully formulate,formulate|formulation|formulated,6,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0077,derive,Academic Core Vocabulary,2,verb,得出；源自,"To get something from a source, or to work something out from information.","To obtain a result, meaning, or substance from an origin through reasoning, calculation, or extraction.",We can derive the meaning of the word from the surrounding sentences.,Basic: We got it from… / Improved: Derive your conclusion strictly from the evidence presented.,obtain|deduce|extract,,derive from|derive meaning|derive a conclusion,derive|derivation|derivative|derived,6,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0078,cite,Academic Core Vocabulary,2,verb,引用；引证,To mention a source of information to support what you say.,"To quote or refer to an authority, text, or piece of evidence as backing for a claim.",Cite the website and the date you accessed it in your bibliography.,Basic: Say where you found it. / Improved: Cite two scholarly sources to strengthen your argument.,quote|reference|mention,,cite a source|cite evidence|cite as,cite|citation|cited|citing,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0079,qualitative,Academic Core Vocabulary,2,adjective,定性的,Describing qualities or characteristics rather than numbers.,"Related to non-numerical information such as descriptions, opinions, or observed features.",Interview answers are qualitative data because they describe experiences in words.,Basic: Not number data. / Improved: Qualitative observations noted the colour and texture of each sample.,descriptive|non-numerical,quantitative,qualitative data|qualitative research|qualitative analysis,qualitative|qualitatively|quality,6,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0080,quantitative,Academic Core Vocabulary,2,adjective,定量的,Related to amounts that can be measured with numbers.,"Concerned with numerical measurement, counting, or statistics rather than descriptive qualities alone.",Recording height in centimetres gives quantitative data.,Basic: Number data. / Improved: Quantitative results showed a 20% increase in germination.,numerical|measurable,qualitative,quantitative data|quantitative analysis|quantitative methods,quantitative|quantitatively|quantity,6,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0081,capacity,Academic Core Vocabulary,2,noun,能力；容量,"The ability to do something, or the amount something can hold.","The power, skill, or volume available to perform a function or contain a quantity.",The hall has a capacity of two hundred people for the concert.,Basic: How much it can do/hold. / Improved: Reading widely builds your capacity to analyse complex texts.,ability|capability|volume,,capacity to|full capacity|build capacity,capacity|capacities|capacious,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0082,constitute,Academic Core Vocabulary,2,verb,构成；组成,"To be the parts that make up a whole, or to count as something.",To form or compose something; to amount to a particular thing in law or reasoning.,These five paragraphs constitute the body of your essay.,Basic: These make up the whole. / Improved: Three reliable sources constitute sufficient evidence for this claim.,form|compose|make up,,constitute a threat|constitute evidence|constitute the majority,constitute|constitution|constituent|constitutional,6,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0083,correspond,Academic Core Vocabulary,2,verb,符合；对应,"To match or be similar to something else; also, to write letters to someone.","To be in agreement or equivalent relationship with another item, idea, or set of data.",Each symbol on the map should correspond to a clear item in the key.,Basic: They match. / Improved: The results correspond closely with our original prediction.,match|agree|align,differ|conflict,correspond to|correspond with|closely correspond,correspond|correspondence|corresponding|correspondingly,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0084,diminish,Academic Core Vocabulary,2,verb,减少；削弱,"To become smaller or less important, or to make something smaller.","To reduce in size, strength, value, or intensity over time or through an action.",Habitats diminish when wetlands are drained for building.,Basic: It got smaller. / Improved: Persistent litter can diminish the beauty of a national park.,reduce|lessen|decrease,increase|grow,diminish over time|diminish the impact|rapidly diminish,diminish|diminished|diminishing|diminution,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0085,emerge,Academic Core Vocabulary,2,verb,出现；显现,To come out or become known after being hidden.,"To appear, develop, or become apparent after a process, investigation, or period of change.",A clear pattern began to emerge after we organised the survey results.,Basic: It started to show. / Improved: New leaders often emerge during community challenges.,appear|arise|surface,disappear,emerge from|begin to emerge|newly emerged,emerge|emergence|emerging|emergent,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0086,reinforce,Academic Core Vocabulary,2,verb,加强；强化,"To make an idea, structure, or behaviour stronger.","To strengthen a claim, habit, or physical structure by adding support, repetition, or additional evidence.",Extra examples reinforce your argument and make it more convincing.,Basic: Make it stronger. / Improved: Cite a second study to reinforce your conclusion.,strengthen|support|bolster,weaken|undermine,reinforce an idea|reinforce learning|positively reinforce,reinforce|reinforcement|reinforced|reinforcing,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0087,subsequent,Academic Core Vocabulary,2,adjective,随后的；后来的,Coming after something else in time.,Following in order or time; occurring as a later stage in a sequence of events.,"The first test failed, but subsequent trials produced clearer results.",Basic: The ones after that… / Improved: Subsequent chapters reveal the narrator’s true motive.,following|later|ensuing,previous|prior,subsequent events|subsequent chapters|in subsequent years,subsequent|subsequently,6,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0088,sufficient,Academic Core Vocabulary,2,adjective,足够的,Enough for what is needed.,Adequate in amount or quality to meet a requirement or achieve a purpose.,Two strong quotations are sufficient support for this short paragraph.,Basic: That’s enough. / Improved: Ensure you have sufficient evidence before drawing a conclusion.,enough|adequate|ample,insufficient|inadequate,sufficient evidence|sufficient time|sufficient for,sufficient|sufficiently|suffice|insufficient,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0089,underlying,Academic Core Vocabulary,2,adjective,潜在的；根本的,Hidden beneath the surface but still important; the real base of something.,"Forming the foundation or real cause of a situation, even if it is not immediately obvious.",An underlying cause of the conflict was competition for scarce water.,Basic: The real reason underneath… / Improved: Identify the underlying assumption in the author’s argument.,fundamental|root|basic,surface|superficial,underlying cause|underlying assumption|underlying principle,underlying|underlie|underlies|underlain,6,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0090,undertake,Academic Core Vocabulary,2,verb,承担；着手做,To begin and take responsibility for a task or project.,"To commit to carrying out a piece of work, study, or duty, often one that requires effort.",Our class will undertake a week-long inquiry into local wildlife corridors.,Basic: We will do this project. / Improved: Students undertake independent research for the scholarship task.,begin|carry out|take on,,undertake a project|undertake research|undertake responsibility,undertake|undertaking|undertook|undertaken,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0091,paradigm,Academic Core Vocabulary,3,noun,范式；典范,A typical example or a widely accepted way of thinking about something.,A model or framework of ideas that shapes how people understand a subject; a shift in paradigm changes that whole framework.,The invention of the internet created a new paradigm for sharing information.,Basic: A new way of thinking. / Improved: Electric vehicles signal a paradigm shift in transport planning.,model|framework|pattern,,paradigm shift|dominant paradigm|new paradigm,paradigm|paradigms|paradigmatic,8,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0092,dichotomy,Academic Core Vocabulary,3,noun,二分法；对立,A division into two opposite or very different parts.,"A contrast between two mutually exclusive categories or ideas, sometimes oversimplifying a more complex reality.",The story explores the dichotomy between freedom and safety.,Basic: Two opposite sides. / Improved: Avoid a false dichotomy that ignores middle options.,division|contrast|split,,false dichotomy|dichotomy between|create a dichotomy,dichotomy|dichotomies|dichotomous,8,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0093,nuanced,Academic Core Vocabulary,3,adjective,细致入微的；有细微差别的,Showing small but important differences; not simple or black-and-white.,Subtle and carefully shaded in meaning; recognising complexity rather than treating something as all good or all bad.,A nuanced response admits that the policy helps some communities more than others.,Basic: It’s not that simple. / Improved: Offer a nuanced analysis that weighs both benefits and costs.,subtle|sophisticated|fine-grained,simplistic|crude,nuanced view|nuanced analysis|more nuanced,nuance|nuanced|nuances,7,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0094,exacerbate,Academic Core Vocabulary,3,verb,加剧；使恶化,To make a problem worse.,"To intensify the severity of a difficult situation, conflict, or condition.",Cutting native trees can exacerbate soil erosion after heavy rain.,Basic: It made the problem worse. / Improved: Ignoring early warnings may exacerbate the crisis.,worsen|aggravate|intensify,alleviate|ease,exacerbate the problem|exacerbate tension|further exacerbate,exacerbate|exacerbation|exacerbated,8,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0095,juxtapose,Academic Core Vocabulary,3,verb,并列；对照放置,To place two things side by side so their differences (or similarities) stand out.,"To position contrasting ideas, images, or scenes next to each other for deliberate comparison or effect.",The filmmaker juxtaposes noisy city streets with silent desert dunes.,Basic: Put them next to each other to compare. / Improved: Juxtapose poverty and wealth to highlight injustice.,contrast|place side by side|compare,,juxtapose with|juxtapose images|deliberately juxtapose,juxtapose|juxtaposition|juxtaposed,8,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0096,empirical,Academic Core Vocabulary,3,adjective,经验的；实证的,"Based on real observation, experience, or experiment—not only on theory.",Grounded in measurable evidence gathered through observation or testing rather than speculation alone.,Scientists look for empirical evidence before accepting a bold claim.,Basic: Based on real tests. / Improved: Empirical data from the trials supported the hypothesis.,observed|experimental|evidence-based,theoretical|speculative,empirical evidence|empirical data|empirical research,empirical|empirically|empiricism,7,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0097,intrinsic,Academic Core Vocabulary,3,adjective,内在的；固有的,Belonging naturally to something as part of what it is.,Essential and inherent; existing within a person or thing rather than coming from outside rewards or causes.,Curiosity is an intrinsic motivation for many strong learners.,Basic: It comes from inside. / Improved: The artwork has intrinsic value beyond its price.,inherent|innate|built-in,extrinsic|external,intrinsic value|intrinsic motivation|intrinsic quality,intrinsic|intrinsically,7,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0098,ambiguous,Academic Core Vocabulary,3,adjective,模棱两可的；含糊的,Unclear because it can be understood in more than one way.,"Open to multiple interpretations; lacking a single definite meaning, sometimes deliberately.","The ending is ambiguous, so readers must decide what happened to the hero.",Basic: It’s unclear. / Improved: The ambiguous wording left the rule open to dispute.,unclear|vague|equivocal,clear|unambiguous,ambiguous ending|ambiguous statement|deliberately ambiguous,ambiguous|ambiguity|ambiguously|unambiguous,7,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0099,corroborate,Academic Core Vocabulary,3,verb,证实；确证,To give extra evidence that supports what someone else has said.,"To confirm or strengthen a claim, account, or finding by providing independent supporting evidence.",A second witness can corroborate the first student’s report of the incident.,Basic: Another fact that agrees. / Improved: Cite a second study to corroborate your findings.,confirm|support|verify,contradict|disprove,corroborate evidence|corroborate a claim|independently corroborate,corroborate|corroboration|corroborative|corroborated,8,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0100,precarious,Academic Core Vocabulary,3,adjective,不稳定的；危险的,Not safe or secure; likely to change or collapse.,"Uncertain and unstable, involving risk because a situation could worsen suddenly.",Many coastal homes face a precarious future as sea levels rise.,Basic: It’s risky and unsteady. / Improved: The species survives in a precarious balance with its habitat.,unstable|insecure|risky,secure|stable,precarious situation|precarious position|precarious balance,precarious|precariously|precariousness,7,Day 1|Day 3|Day 7|Day 14|Day 30
